,Rel_BreitGross,RelSpitze_oben,RelSpitze_unten,Anzahl_Linie,Anzahl_Ecken,Anzahl_Kreis,Label
0,0.2870373015046671,0.06,0.6342857142857142,5,2,0,0
1,0.48367706712146596,0.5833333333333334,0.7291666666666666,4,5,0,0
2,0.4955440309651352,0.9854111405835544,0.9893899204244032,12,18,1,0
3,0.4643304075667105,0.7304582210242587,0.6064690026954178,28,15,0,0
4,0.32054206788004164,0.15324675324675324,0.6311688311688312,18,11,0,0
5,0.3350888503206828,0.9807692307692307,0.6692307692307692,0,10,0,0
6,0.5828727082742211,0.840625,0.996875,12,4,0,0
7,0.4347123578192772,0.9823369565217391,0.9959239130434783,10,8,0,0
8,0.29497556357683474,0.7308192457737321,0.58777633289987,16,10,1,0
9,0.29235534915069994,0.08291873963515754,0.4593698175787728,10,8,0,0
10,0.4318349014032872,0.8828828828828829,1.0,23,7,1,0
11,0.3990379220539889,0.12307692307692308,0.5566433566433566,44,7,1,0
12,0.4744744129768241,0.9239766081871345,0.4600389863547758,7,9,0,0
13,0.5552204941038513,0.28660826032540676,0.6808510638297872,24,14,1,0
14,0.3880481138990972,1.0,0.9890510948905109,14,6,0,0
15,0.816655487040524,0.9711286089238845,0.4041994750656168,9,4,0,0
16,0.39854558041395316,0.7611111111111111,0.5444444444444444,8,5,0,0
17,0.681010098694013,0.8022388059701493,0.8880597014925373,61,13,0,0
18,0.6549234678114084,0.571964956195244,0.2853566958698373,46,9,0,0
19,0.5863781739326357,0.38305941845764857,0.6434892541087232,27,32,0,0
20,0.40553692366976024,1.0,0.5147058823529411,15,4,1,0
21,0.3744173780700779,0.7439446366782007,0.7474048442906575,25,3,1,0
22,0.6800034946815787,0.9910873440285205,0.5472370766488414,13,5,0,0
23,0.6619217081850534,0.6854838709677419,0.7688172043010753,2,20,0,0
24,0.49444649875755,0.41255006675567424,0.7423230974632844,13,17,0,0
25,0.3685983269585561,0.9247027741083224,0.6816380449141347,12,3,0,0
26,0.7516915316022634,0.9344262295081968,0.6751117734724292,16,10,0,0
27,0.5448476702259237,0.2853566958698373,0.3166458072590738,1,2,0,0
28,0.4606349794389143,0.15944272445820434,0.37925696594427244,10,15,1,0
29,0.4386937292682925,0.5142857142857142,1.0,17,5,1,0
30,0.4756888939269823,0.9899117276166457,0.6254728877679697,10,5,0,0
31,0.45696792436642863,0.7739130434782608,0.8,2,6,0,0
32,0.5829985576265555,0.840625,0.996875,13,3,0,0
33,0.45192773747303333,0.17523809523809525,0.7733333333333333,9,23,0,0
34,0.7679062152200249,0.5774058577405857,0.9707112970711297,16,7,1,0
35,0.4945700962475741,0.9854497354497355,0.9867724867724867,11,7,1,0
36,0.4972074256583373,0.9967532467532467,0.7321428571428571,5,19,0,0
37,0.7358129495845763,0.8389610389610389,0.6454545454545455,22,13,0,0
38,0.3623788130529852,0.9777777777777777,0.8555555555555555,8,2,0,0
39,0.2574053073231293,1.0,0.6864406779661016,13,5,0,0
40,0.9807964795659411,0.9123904881101377,0.9374217772215269,12,9,0,0
41,0.28533582049751405,0.8346774193548387,0.9919354838709677,3,4,0,0
42,0.2594693997939762,1.0,0.6845070422535211,28,23,0,0
43,0.5407295658631749,0.7794871794871795,0.8589743589743589,11,25,0,0
44,0.36998468532699735,0.06501950585175553,0.5578673602080624,59,10,0,0
45,0.562329815292912,0.2896103896103896,0.6883116883116883,38,4,1,0
46,0.44620837639477745,0.21311475409836064,0.6363636363636364,20,7,0,0
47,0.35532445606850876,0.07179487179487179,0.5397435897435897,24,5,0,0
48,0.45442274959367884,0.9899874843554443,0.5669586983729662,24,2,1,0
49,0.963988833238288,0.8122653316645807,1.0,60,18,0,0
50,0.4042939289259839,1.0,0.6107634543178974,17,4,0,0
51,0.3519127268622903,0.7553648068669528,0.7124463519313304,12,4,0,0
52,0.6551616511665206,0.571964956195244,0.28660826032540676,36,5,0,0
53,0.7544216495325567,0.9626556016597511,0.8423236514522822,5,5,0,0
54,0.3473212311639943,1.0,0.5223880597014925,12,5,0,0
55,0.8902275670082497,0.6585365853658537,1.0,33,11,1,0
56,0.49778926794511724,0.1210762331838565,0.40508221225710017,9,6,1,0
57,0.4789296874100986,0.7869062901155327,0.8664955070603337,16,8,0,0
58,0.2222923233067581,0.11188811188811189,0.45104895104895104,11,1,0,0
59,0.38636840456965016,0.15089163237311384,0.6145404663923183,22,5,0,0
60,0.45049855140279754,0.986232790988736,0.5657071339173968,40,4,1,0
61,0.878601147761295,0.7722222222222223,1.0,10,12,0,0
62,0.932345585282319,0.4785992217898833,0.3754863813229572,3,3,0,0
63,0.4550491326245447,0.9910581222056631,0.5618479880774963,18,6,0,0
64,0.30424336981672795,0.08050847457627118,0.3686440677966102,27,7,0,0
65,0.7200798143710017,1.0,0.9587482219061166,12,18,0,0
66,0.37636666794795587,0.6253443526170799,0.8071625344352618,9,11,0,0
67,0.3704479030990187,0.9232804232804233,0.6865079365079365,11,8,0,0
68,0.4036584041767405,1.0,0.6145181476846058,16,4,0,0
69,0.430339862890554,0.8825301204819277,1.0,21,2,1,0
70,0.34879246340666764,0.1920152091254753,0.6273764258555133,19,5,1,0
71,0.729061273128602,0.9626556016597511,0.9363762102351314,3,9,0,0
72,0.5939281780415527,0.723404255319149,0.3479349186483104,45,15,0,0
73,0.6266728873348996,0.5944233206590621,1.0,15,7,1,0
74,0.3241084466088332,0.16358024691358025,0.6388888888888888,16,7,0,0
75,0.551207721052276,0.9974715549936789,0.618204804045512,33,4,1,0
76,0.30867685575699616,0.9148936170212766,0.9023779724655819,15,4,1,0
77,0.31044764557419086,0.007211538461538462,0.7043269230769231,3,2,0,0
78,0.30603485710899697,0.8949579831932774,0.907563025210084,62,5,1,0
79,0.3476220767762254,1.0,0.5251017639077341,17,3,1,0
80,0.4973832737143677,0.65379113018598,0.2646638054363376,38,5,0,0
81,0.38286713286713286,0.9406392694063926,1.0,7,20,1,0
82,0.45548245085595124,0.9849812265331664,0.5544430538172715,31,6,1,0
83,0.9589508542316574,0.8097622027534418,1.0,68,7,0,0
84,0.6378295835298864,0.7644110275689223,0.550125313283208,11,4,0,0
85,0.470083795953444,0.07259073842302878,0.5632040050062578,16,13,1,0
86,0.5240284420350068,0.5595408895265424,1.0,11,8,0,0
87,0.4449685534591195,0.9257950530035336,1.0,5,12,0,0
88,0.613598978717364,0.8010012515644556,1.0,4,22,0,0
89,0.34887232605394264,0.7586206896551724,0.7155172413793104,11,4,1,0
90,0.4229733820079528,1.0,0.5242718446601942,17,4,1,0
91,0.17963700048750808,1.0,0.948339483394834,0,2,0,0
92,0.9298359796725927,0.47378640776699027,0.37087378640776697,5,3,1,0
93,0.5671174236702866,0.17647058823529413,0.38423028785982477,12,4,1,0
94,0.7259073842302879,0.9411764705882353,1.0,8,4,0,0
95,0.3696269733220803,0.06380208333333333,0.5572916666666666,49,11,0,0
96,0.6520462934380358,0.9842271293375394,0.7681388012618297,19,10,1,0
97,0.5343349763332064,0.28911138923654567,0.3166458072590738,4,6,0,0
98,0.6293323404090481,0.9799247176913425,0.9799247176913425,16,15,0,0
99,0.584692451323496,1.0,0.8277634961439588,14,7,0,0
100,0.5651495363923114,0.957345971563981,0.6966824644549763,0,3,0,0
101,0.6589180304820771,0.989648033126294,0.2028985507246377,3,5,0,0
102,0.29133702174889275,0.10137672090112641,0.45807259073842305,13,5,0,0
103,0.47672385957076285,0.15269086357947434,0.6107634543178974,56,9,0,0
104,0.4366557114908282,0.3923809523809524,0.700952380952381,7,8,1,0
105,0.37623118320487287,0.6602209944751382,0.8080110497237569,12,9,0,0
106,0.47547516713391613,0.15143929912390489,0.6107634543178974,52,6,0,0
107,0.2834000098798748,0.8414634146341463,0.9959349593495935,17,2,0,0
108,0.4895478776759609,0.41388518024032045,0.7463284379172229,20,12,0,0
109,0.7209010837675945,0.9749687108886108,0.9749687108886108,25,11,1,0
110,0.7293257769969347,0.9749687108886108,0.5131414267834794,29,8,1,0
111,0.37332063934401166,0.7465277777777778,0.75,12,15,1,0
112,0.29300974995457296,0.10387984981226533,0.45807259073842305,14,2,1,0
113,0.43221282050032045,0.13350125944584382,0.6045340050377834,78,5,0,0
114,0.4003623120118301,0.3472222222222222,0.15432098765432098,0,11,0,0
115,0.48399854468935716,0.5544430538172715,0.5494367959949937,8,10,0,0
116,0.384541911609128,0.15796703296703296,0.6181318681318682,43,9,0,0
117,0.524306471659668,0.5624103299856528,1.0,7,15,0,0
118,0.4481242851494021,0.6563380281690141,0.5549295774647888,18,4,1,0
119,0.8789998198332177,0.7739251040221914,1.0,11,4,0,0
120,0.6014291861776568,0.9340369393139841,0.9630606860158312,5,16,0,0
121,0.3241485282299711,1.0,0.6129032258064516,24,6,0,0
122,0.47115851402752856,0.6793893129770993,0.7633587786259542,3,3,0,0
123,0.48437300162626484,0.021739130434782608,0.5115942028985507,23,6,1,0
124,0.39878398290797923,0.12027972027972028,0.5412587412587413,62,3,0,0
125,0.5036578892155603,0.02318840579710145,0.5144927536231884,16,10,0,0
126,0.35880356283532955,0.9082321187584346,0.4601889338731444,18,11,1,0
127,0.3062845395617444,0.9106382978723404,0.8808510638297873,41,17,1,0
128,0.33166225833433577,1.0,0.679160419790105,7,6,0,0
129,0.8947067968208279,0.6614583333333334,1.0,13,19,1,0
130,0.6012629648473752,0.9340369393139841,0.9643799472295514,7,3,0,0
131,0.7271589486858573,0.9411764705882353,1.0,11,8,0,0
132,0.549651236942707,0.9929278642149929,0.6053748231966054,45,19,0,0
133,0.43837552310977107,0.3904761904761905,0.700952380952381,7,4,1,0
134,0.6518578292906922,0.9873817034700315,0.7712933753943217,28,2,1,0
135,0.5247483486156268,0.8903566710700133,0.4464993394980185,25,8,0,0
136,0.37455204458477476,1.0,0.43342036553524804,33,3,0,0
137,0.4971192836283579,0.6566951566951567,0.26495726495726496,44,5,1,0
138,0.5454402831787077,0.2853566958698373,0.3078848560700876,6,1,0,0
139,0.7360492771539906,0.8400520156046815,0.6527958387516255,16,15,0,0
140,0.5931620579969195,0.723404255319149,0.3354192740926158,33,9,0,0
141,0.5664747524642345,0.36036036036036034,0.6074646074646075,16,10,0,0
142,0.36244363495987714,0.030183727034120734,0.5708661417322834,11,8,0,0
143,0.44654088050314467,0.9295774647887324,1.0,4,5,0,0
144,0.9542146264407451,1.0,0.9056603773584906,4,5,0,0
145,0.4394636099658405,0.8061538461538461,0.7353846153846154,8,5,1,0
146,0.4442982838991214,0.9052924791086351,0.8844011142061281,22,10,1,0
147,0.49515682303665065,0.12125748502994012,0.4041916167664671,11,9,0,0
148,0.3859247207855496,1.0,0.9853479853479854,11,7,1,0
149,0.2749621133142194,1.0,0.46437994722955145,6,4,0,0
150,0.5850109787846547,1.0,0.8275418275418276,14,9,0,0
151,0.4461369336245986,0.9702970297029703,0.49504950495049505,0,1,0,0
152,0.5251559077544137,0.8866930171277997,0.4453227931488801,13,10,0,0
153,0.442817626186472,0.8498122653316645,1.0,12,10,1,0
154,0.33632080581166296,0.9808429118773946,0.6704980842911877,0,6,0,0
155,0.4617947277718872,0.15193798449612403,0.37209302325581395,11,4,1,0
156,0.45068690648117044,0.9824780976220275,0.5657071339173968,42,3,1,0
157,0.4006377663776336,0.36882716049382713,0.2175925925925926,1,8,0,0
158,0.3475613895781074,0.017094017094017096,0.4465811965811966,13,18,0,0
159,0.4425928374034397,0.9850543478260869,0.9972826086956522,20,8,0,0
160,0.32296450671130594,0.16049382716049382,0.6358024691358025,19,4,0,0
161,0.35365062040361556,1.0,0.7868217054263565,3,5,0,0
162,0.6768177195753091,0.829004329004329,1.0,10,14,1,0
163,0.5343568752032329,0.28911138923654567,0.31539424280350437,5,4,0,0
164,0.9116276459451973,0.8462515883100381,0.9542566709021602,26,6,0,0
165,0.38872218603178416,0.8719590268886044,0.9218950064020487,30,6,1,0
166,0.3897678071770994,0.8732394366197183,0.9218950064020487,28,5,1,0
167,0.9226586731793703,0.98,0.8414285714285714,5,5,1,0
168,0.3591840357236077,0.05901116427432217,0.5039872408293461,8,12,0,0
169,0.3350450466777189,0.9807692307692307,0.6692307692307692,0,12,0,0
170,0.28903578754435005,0.9292786421499293,0.9957567185289957,30,7,0,0
171,0.3235243055168801,0.029490616621983913,0.5107238605898123,16,4,0,0
172,0.2698919753384586,0.7040358744394619,0.7219730941704036,38,4,0,0
173,0.33645385574893355,0.2188679245283019,0.4075471698113208,11,1,0,0
174,0.39290489042077753,0.7112676056338029,0.7147887323943662,31,7,1,0
175,0.34265154555505645,1.0,0.52443857331572,18,2,1,0
176,0.4326999687494892,0.07434402332361516,0.5029154518950437,26,4,0,0
177,0.8199618424790691,0.1840277777777778,0.8055555555555556,4,3,0,0
178,0.5910028603656201,0.7115628970775095,0.2655654383735705,12,8,1,0
179,0.7694889247092015,0.8362989323843416,1.0,40,15,0,0
180,0.4791263079015292,1.0,0.6582446808510638,6,1,0,0
181,0.6543152472439465,0.3071625344352617,0.32920110192837465,21,8,1,0
182,0.7221474148442096,0.8151408450704225,0.8045774647887324,0,3,1,0
183,0.4327703831273958,0.2563237774030354,0.3490725126475548,16,4,0,0
184,0.6168441756183817,1.0,0.8175675675675675,3,3,0,0
185,0.46093155342097986,0.8261964735516373,0.36397984886649876,33,12,0,0
186,0.46057571362636424,0.737171464330413,1.0,12,11,0,0
187,0.33551972125660384,0.9961240310077519,0.6666666666666666,0,10,0,0
188,0.3924364720911863,0.018469656992084433,0.5593667546174143,12,11,0,0
189,0.382347288420356,0.6806451612903226,0.6290322580645161,7,5,0,0
190,0.3533079781156103,0.7416267942583732,0.631578947368421,7,8,1,0
191,0.433149940102193,0.8339350180505415,0.5234657039711191,2,5,1,0
192,0.42818862970777866,0.9845288326300985,0.919831223628692,12,6,0,0
193,0.5279622132731836,0.9218045112781955,0.9097744360902256,8,10,0,0
194,0.4213570679473532,0.8215767634854771,0.6583679114799447,12,7,0,0
195,0.2025834565621942,1.0,0.6878048780487804,10,4,0,0
196,0.5180663716529144,0.8138801261829653,0.6845425867507886,3,2,1,0
197,0.4881179505724319,0.9671641791044776,1.0,7,9,0,0
198,0.4881179505724319,0.9671641791044776,1.0,7,9,0,0
199,0.4289863779993586,0.555921052631579,0.7368421052631579,8,5,0,0
200,0.4289863779993586,0.555921052631579,0.7368421052631579,8,5,0,0
201,0.34958775365355105,0.915057915057915,0.9884169884169884,4,6,0,0
202,0.34958775365355105,0.915057915057915,0.9884169884169884,4,6,0,0
203,0.5702514254060451,1.0,0.9505649717514124,9,7,0,0
204,0.5702514254060451,1.0,0.9505649717514124,9,7,0,0
205,0.5464423521131492,0.40494590417310666,0.8887171561051005,0,18,0,0
206,0.5464423521131492,0.40494590417310666,0.8887171561051005,0,18,0,0
207,0.4856264898332238,0.8380681818181818,0.4914772727272727,3,7,0,0
208,0.4856264898332238,0.8380681818181818,0.4914772727272727,3,7,0,0
209,0.5889956905866731,0.884272997032641,0.4599406528189911,0,7,0,0
210,0.5889956905866731,0.884272997032641,0.4599406528189911,0,7,0,0
211,0.3558054600116816,0.34930448222565685,0.9953632148377125,4,3,1,0
212,0.7325349416941508,0.6834170854271356,0.7788944723618091,0,1,0,0
213,0.37700054274654854,0.5163776493256262,0.8651252408477842,4,4,0,0
214,0.2917236864844691,0.19516129032258064,0.9967741935483871,3,3,0,0
215,0.3093617280179132,0.1792,0.6096,2,2,0,0
216,0.27778554806697486,0.8322147651006712,0.8288590604026845,0,2,0,0
217,0.275965224453361,0.8693467336683417,0.9731993299832495,1,1,0,0
218,0.27972535958864136,0.46904024767801855,0.9845201238390093,14,12,0,0
219,0.28129829984544047,0.9289026275115919,0.8717156105100463,14,8,0,0
220,0.1756573356054705,0.7946428571428571,0.8869047619047619,0,3,0,0
221,0.8345983539163131,0.6642066420664207,0.9944649446494465,17,5,0,0
222,0.8345983539163131,0.6642066420664207,0.9944649446494465,17,5,0,0
223,0.34889763918559796,0.8169014084507042,0.784037558685446,4,4,0,0
224,0.34889763918559796,0.8169014084507042,0.784037558685446,4,4,0,0
225,0.3598941377183483,0.7476190476190476,0.7428571428571429,2,1,0,0
226,0.3598941377183483,0.7476190476190476,0.7428571428571429,2,1,0,0
227,0.7651824046257466,0.8153153153153153,1.0,5,9,0,0
228,0.7651824046257466,0.8153153153153153,1.0,5,9,0,0
229,0.29922604926785984,0.8797814207650273,1.0,13,7,0,0
230,0.6939794825923176,0.7442244224422442,0.8036303630363036,23,15,0,0
231,0.7354636031340679,0.9918433931484503,0.9200652528548124,7,6,0,0
232,0.8422245217751234,0.8926974664679582,1.0,10,6,0,0
233,0.6468252997670659,0.8115942028985508,0.894927536231884,5,8,0,0
234,0.9947095351697062,0.5687203791469194,0.9557661927330173,14,8,0,0
235,0.5607717671126807,0.4485294117647059,0.725,8,6,0,0
236,0.9137680598462156,0.6866537717601547,1.0,12,16,0,0
237,0.6758895576323347,0.9387040280210157,0.28371278458844135,5,11,0,0
238,0.6552357267293757,0.7326892109500805,0.8904991948470209,24,9,0,0
239,0.9864183464416549,0.5996705107084019,0.9126853377265239,11,5,0,0
240,0.2116526066885112,0.035398230088495575,0.5120101137800253,17,3,1,1
241,0.26788200881363666,0.04380475594493116,0.45431789737171463,6,12,1,1
242,0.7147720666525007,0.7665094339622641,0.6320754716981132,0,9,0,1
243,0.3141490670989934,1.0,0.5763097949886105,5,4,0,1
244,0.3241551939924906,0.9987484355444305,0.9987484355444305,7,1,1,1
245,0.23789900844262896,1.0,0.4056047197640118,7,1,1,1
246,0.4571577439832298,0.9877862595419847,0.9969465648854962,11,10,0,1
247,0.25997491826117913,0.0625782227784731,0.5244055068836045,16,1,1,1
248,0.22896893930126347,0.012949640287769784,0.4949640287769784,11,6,0,1
249,0.25213665795563134,1.0,0.9241706161137441,7,1,1,1
250,0.2881674142390055,0.6333333333333333,0.8148148148148148,4,3,0,1
251,0.46853942007899996,0.8835820895522388,0.608955223880597,2,4,0,1
252,0.3634651600753296,0.7202072538860104,0.44041450777202074,2,4,0,1
253,0.25129135971893823,1.0,0.38967136150234744,24,14,1,1
254,0.24943517450025104,0.9951690821256038,0.9468599033816425,0,8,1,1
255,0.4781420765027322,0.9890710382513661,0.9904371584699454,6,11,0,1
256,0.24803468903465203,1.0,0.4776579352850539,13,9,0,1
257,0.24928474434283926,1.0,0.4278169014084507,10,4,0,1
258,0.38900795756368534,0.10514018691588785,0.4439252336448598,12,3,1,1
259,0.24550360942667623,0.046894803548795945,0.41191381495564006,13,12,0,1
260,0.16982433928692578,0.0466786355475763,0.414721723518851,10,3,0,1
261,0.2059337942532031,1.0,0.53232462173315,5,3,1,1
262,0.4468009023452026,0.01957831325301205,0.5813253012048193,6,2,1,1
263,0.2706283631329942,1.0,0.5330330330330331,17,9,1,1
264,0.25717876310153026,1.0,0.4270650263620387,8,4,0,1
265,0.2722958951149751,0.282994923857868,0.21446700507614214,8,1,1,1
266,0.20766420554503615,1.0,0.53232462173315,3,7,0,1
267,0.3216280469027023,0.22752043596730245,0.40599455040871935,13,6,0,1
268,0.6266471449487555,0.8294392523364486,0.6285046728971962,10,24,1,1
269,0.37632776934749623,1.0,0.9959677419354839,2,6,1,1
270,0.2533386218177331,0.06292134831460675,0.9932584269662922,7,2,0,1
271,0.2704635767561791,1.0,0.43645699614890887,11,30,0,1
